what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366486243880
java.specification.version,sysinfo,,,"1.7",1366486243880
java.vendor,sysinfo,,,"Oracle Corporation",1366486243880
java.version,sysinfo,,,"1.7.0-ea",1366486243880
java.vm.info,sysinfo,,,"mixed mode, sharing",1366486243880
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366486243880
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366486243880
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366486243880
java.vm.specification.version,sysinfo,,,"1.0",1366486243880
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366486243880
java.vm.version,sysinfo,,,"20.0-b03",1366486243880
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1366486250678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366486255783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366486271566
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366486271734
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1366486272205
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1366486272395
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1366486272614
